2D_X,2D_Y,3D_X,3D_Y,3D_Z
391,557,7.096616835578069,-117.60422792257611,-80.79919639045775
387,504,8.521275856220793,-119.06834545956156,-61.62478898781068
389,516,7.794809350368716,-120.31358959972965,-65.8122010868484
374,443,13.151280424861719,-120.72305260510666,-39.691243458988666
386,487,8.700993586242689,-137.38913659753405,-54.22230922815437
387,462,8.40051970286304,-132.39772117637136,-45.84955754409596
387,398,8.557909757772077,-115.02460090351383,-23.666023955737444
281,383,48.24593334098944,-98.2328968503374,-18.229294659186557
388,345,8.177347151701472,-117.33062268567005,-4.581743423623962
388,321,8.150463184611956,-120.54543779424671,3.9081099311735237
387,238,8.541131890417532,-116.87658518321302,33.949453520644646
391,565,7.108217728622957,-115.75456408837624,-83.9077048410653
392,570,6.757213306093158,-114.00294076736463,-85.93798712346542
392,571,6.749079234844887,-115.46196288952217,-86.11035200342891
393,575,6.393918440247502,-114.27034805435471,-87.71243953267955
393,582,6.426928871118468,-107.50333452641291,-91.17643372302756
393,591,6.419369091892567,-109.0530606869072,-94.25209881265437
394,599,6.0570709117831125,-108.30168622543101,-97.28793333609875
394,609,6.069608162741103,-105.30324900327992,-101.41667036574681
387,511,8.510611464280535,-120.24550855237624,-64.03023941613719
373,507,13.593556170543028,-116.20722167095721,-62.94441712341786
230,306,74.0811956304139,-40.72192386607139,13.636309127016336
327,398,30.763308177798567,-104.6320165000052,-23.763795716663832
312,400,36.31358013585313,-104.26577213144878,-24.504793333739332
297,399,41.91991103289725,-103.22519996850406,-24.146531995321855
276,387,50.18403274557317,-97.38581781998289,-19.722691219106725
339,394,26.311773276588422,-105.32092927809208,-22.285151696832806
302,352,39.87359198107287,-106.13633920490543,-6.845909697492113
319,354,33.47828801963504,-108.76308450392503,-7.63668544408036
287,354,45.61887511946878,-103.1750097538619,-7.517912326904419
277,361,49.59760213781928,-99.8691398726894,-10.050526451608015
264,398,54.822060354017474,-95.74845462329301,-23.847370836601414
340,625,26.37918513858078,-94.90654733653878,-109.04799472213213
275,378,50.617696934581716,-96.69595506388282,-16.357431791932804
223,380,81.23235206851993,-6.187311159191381,-16.82170405305112
248,383,62.10792981652249,-83.56548481898506,-18.213962586852073
312,474,35.89172809259178,-111.14470983577439,-51.36517644520143
371,554,14.340904259594902,-114.89894728351601,-80.04030359937259
374,569,13.319664147958276,-111.42973774148584,-85.90684319797133
351,555,21.74725600733798,-109.65597705104005,-81.02462634144406
339,557,26.380543847032023,-103.70315962877305,-82.47026155043751
360,567,18.509085948535706,-107.96961856834093,-85.61933406914424
349,566,22.940691163324004,-96.61753384359565,-86.6889868189742
322,574,33.32815870221366,-91.34477716254753,-90.37814473871879
374,503,13.206270660507776,-117.68807057189383,-61.380311525739074
371,486,14.112729503232156,-126.18945545082613,-54.66880329189991
255,340,59.232621589446474,-85.4744665504171,-1.795494217695211
343,431,24.617166700395657,-110.9209446400356,-35.721190700830505
